ongu	<i>noun</i><br><ol><li>seed</li></ol>
oni	<i>noun</i><br><ol><li>noise</li></ol>
opoatu	<i>num</i><br><ol><li>four hundred</li></ol>
ose	<i>noun</i><br><ol><li>uncooked rice</li></ol>
paa	<i>noun</i><br><ol><li>(anatomy) foot</li></ol>
padaso	<i>noun</i><br><ol><li>executioner</li></ol>
pae	<i>noun</i><br><ol><li>unhusked rice</li><li>year</li></ol>
pakea	<i>noun</i><br><ol><li>clothing</li><li>uniform</li></ol>
paku	<i>noun</i><br><ol><li>fern</li></ol>
pakuli	<i>noun</i><br><ol><li>medicine</li></ol>
pale	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
paliu	<i>noun</i><br><ol><li>permission</li></ol>
panaguntu	<i>noun</i><br><ol><li>weapon</li></ol>
pandiu	<i>noun</i><br><ol><li>baptism</li></ol>
pandoli	<i>noun</i><br><ol><li>crowbar</li></ol>
pane eo	<i>noun</i><br><ol><li>summer</li></ol>
pangga	<i>noun</i><br><ol><li>blouse; shirt</li></ol>
pangkondi	<i>noun</i><br><ol><li>serving; portion (of a dish)</li></ol>
pangkondia	<i>noun</i><br><ol><li>dining table</li></ol>
pangkondiaa	<i>noun</i><br><ol><li>restaurant; diner; food stall</li></ol>
pantaru	<i>noun</i><br><ol><li>mathematics</li></ol>
papitu	<i>num</i><br><ol><li>seven</li></ol>
parewa	<i>noun</i><br><ol><li>equipment; tool</li></ol>
patolo	<i>noun</i><br><ol><li>pencil</li></ol>
peba	<i>noun</i><br><ol><li>cat</li></ol>
pebagiu	<i>noun</i><br><ol><li>deceiver</li></ol>
peka	<i>noun</i><br><ol><li>fishhook</li><li>fishing rod</li></ol>
pekutana	<i>noun</i><br><ol><li>question</li></ol>
peli	<i>noun</i><br><ol><li>(anatomy) cheek</li></ol>
