kechay	<i>noun</i><br><ol><li>landslide; erosion</li></ol>
kechel	<i>noun</i><br><ol><li>domesticated pig</li></ol>
kedang	<i>noun</i><br><ol><li>intestinal worm</li></ol>
kedeb	<i>noun</i><br><ol><li>wall that separates a higher ricefield from a lower one</li></ol>
kedit	<i>noun</i><br><ol><li>pinch</li></ol>
kednal	<i>noun</i><br><ol><li>first weeding of rice plants</li></ol>
kedpeng	<i>adj</i><br><ol><li>short (in length)</li></ol>
kedsang	<i>noun</i><br><ol><li>strength (of people or animals)</li></ol>
kedso	<i>noun</i><br><ol><li>wooden pestle (used with a wooden mortar)</li></ol>
kejag	<i>noun</i><br><ol><li>round flat basket (used for winnowing)</li></ol>
kejow	<i>noun</i><br><ol><li>tree; firewood</li></ol>
kelchas	<i>noun</i><br><ol><li>epilepsy</li></ol>
keljaw	<i>noun</i><br><ol><li>shout</li></ol>
kemkemti	<i>noun</i><br><ol><li>firefly</li></ol>
kenchat	<i>noun</i><br><ol><li>natural tendency</li></ol>
kenot	<i>noun</i><br><ol><li>dried tobacco</li></ol>
kesis	<i>noun</i><br><ol><li>(anatomy) semen</li></ol>
kespo	<i>adj</i><br><ol><li>short (of height)</li></ol>
