पान	<i>noun</i><br><ol><li>leaf</li></ol>
𑂇𑂘𑂪|uṭhal	<i>verb</i><br><ol><li>to rise, get up</li><li>to awaken</li></ol>
𑂇𑂞𑂹𑂞𑂩|uttar	<i>noun</i><br><ol><li>reply, answer</li><li>north (cardinal direction)</li></ol>
𑂇𑂠𑂹𑂠𑂵𑂮|uddes	<i>noun</i><br><ol><li>purpose, object, aim</li></ol>
𑂇𑂣𑂩𑂵|upare	<i>postp</i><br><ol><li>on top of; above</li></ol>
𑂇𑂥𑂢𑂲|ubanī	<i>noun</i><br><ol><li>rope</li></ol>
𑂇𑂧𑂱𑂩|umir	<i>noun</i><br><ol><li>age</li></ol>
𑂇𑂧𑂱𑂩𑂏𑂩|umirgar	<i>adj</i><br><ol><li>elder, senior</li><li>aged</li></ol>
𑂈|ū	<i>pron</i><br><ol><li>him, her, it (singular)</li></ol>
𑂈𑂀𑂒|ū̃c	<i>adj</i><br><ol><li>high, tall, lofty</li></ol>
𑂈𑂎𑂱|ūkhi	<i>noun</i><br><ol><li>sugarcane</li></ol>
𑂉|e	<i>pron</i><br><ol><li>him, her, it (singular)</li></ol>
𑂉𑂁𑂯𑂵|ẽhe	<i>intj</i><br><ol><li>yuck, eww, yech</li></ol>
𑂉𑂍𑂠𑂧|ekdam	<i>adv</i><br><ol><li>utterly, downright, completely, absolutely, totally</li></ol>
𑂉𑂍𑂠𑂧𑂵|ekdame	<i>adv</i><br><ol><li>suddenly</li><li>unpredictably, unexpectedly</li></ol>
𑂉𑂖𑂹𑂔𑂰𑂩|eñjār	<i>noun</i><br><ol><li>wait</li><li>anticipation</li></ol>
𑂉𑂖𑂹𑂔𑂰𑂩⸱𑂍𑂶𑂪|eñjār kail	<i>verb</i><br><ol><li>to wait</li></ol>
𑂉𑂢𑂹𑂞𑂔𑂰𑂩|entajār	<i>noun</i><br><ol><li>wait</li><li>anticipation</li></ol>
𑂉𑂢𑂹𑂢𑂵|enne	<i>adv</i><br><ol><li>this way; here</li></ol>
𑂉𑂮𑂷𑂀|esõ	<i>adv</i><br><ol><li>this year</li></ol>
𑂊𑂀𑂘𑂢|aɪ̃ṭhan	<i>noun</i><br><ol><li>twist</li><li>arrogance.</li></ol>
𑂊𑂀𑂘𑂪|aɪ̃ṭhal	<i>verb</i><br><ol><li>to twist, wrench</li><li>to act in an arrogant manner.</li></ol>
𑂋|o	<i>pron</i><br><ol><li>him, her, it (singular)</li></ol>
𑂋𑂍𑂢𑂹𑂯𑂲𑂀|okanhī̃	<i>pron</i><br><ol><li>them (plural)</li></ol>
𑂋𑂎𑂢𑂱|okhni	<i>adv</i><br><ol><li>at that time, back then</li></ol>
𑂋𑂕𑂩𑂰𑂪|ojhrāl	<i>adj</i><br><ol><li>entangled</li><li>busy</li></ol><br><i>verb</i><br><ol><li>to be entangled</li><li>to be busy</li></ol>
𑂋𑂘|oṭh	<i>noun</i><br><ol><li>lips</li></ol>
𑂋𑂘𑂪𑂰𑂪𑂲|oṭhlālī	<i>noun</i><br><ol><li>lipstick</li></ol>
𑂋𑂢𑂹𑂢𑂵|onne	<i>adv</i><br><ol><li>there, that way</li></ol>
𑂋𑂩|or	<i>noun</i><br><ol><li>end</li><li>side</li></ol>
𑂋𑂩𑂱𑂄𑂉𑂪|oriāel	<i>verb</i><br><ol><li>to finish, end</li></ol>
𑂋𑂯𑂱𑂔𑂰|ohijā	<i>adv</i><br><ol><li>there, at that place</li></ol>
𑂌𑂀𑂗𑂪|aũtal	<i>verb</i><br><ol><li>to volatilize</li></ol>
𑂌𑂒𑂍𑂵|aucake|औचके	<i>adv</i><br><ol><li>suddenly</li></ol>
𑂌𑂔𑂰𑂩|aojār	<i>noun</i><br><ol><li>tool, instrument</li></ol>
𑂌𑂩𑂞|aurat	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
𑂍𑂍𑂯𑂰|kakhā	<i>noun</i><br><ol><li>comb</li></ol>
𑂍𑂎𑂢𑂱|kakhni	<i>adv</i><br><ol><li>when</li></ol>
𑂍𑂖𑂹𑂒𑂢|kañcan	<i>adj</i><br><ol><li>golden</li></ol><br><i>noun</i><br><ol><li>gold</li></ol>
𑂍𑂗𑂯𑂩|kaṭhar	<i>noun</i><br><ol><li>jackfruit</li></ol>
𑂍𑂝𑂹𑂘|kaṇṭh	<i>noun</i><br><ol><li>(anatomy) throat</li><li>(anatomy) windpipe</li><li>(anatomy) larynx</li><li>(anatomy) Adam's apple</li></ol>
𑂍𑂢|kan	<i>adv</i><br><ol><li>at the place of</li><li>at the home of</li><li>near</li></ol>
𑂍𑂢𑂍|kanak	<i>noun</i><br><ol><li>gold</li></ol>
𑂍𑂢𑂣𑂗𑂹𑂗𑂲|kanpaṭṭī	<i>noun</i><br><ol><li>(anatomy) temple</li></ol>
𑂍𑂢𑂤𑂹𑂨𑂳𑂔𑂱𑂄𑂉𑂪|kanaphyujiāel	<i>verb</i><br><ol><li>(slang) to be confused</li></ol>
𑂍𑂢𑂸𑂪𑂰|kanaulā	<i>noun</i><br><ol><li>the shrub Carissa carandas or its flower</li></ol>
𑂍𑂣𑂰𑂩|kapār	<i>intj</i><br><ol><li>Indicates disapproval.; my foot</li></ol><br><i>noun</i><br><ol><li>head</li><li>skull, cranium</li></ol>
𑂍𑂥𑂰𑂚𑂩𑂪|kabāṛal	<i>verb</i><br><ol><li>to uproot, pull out; displace</li></ol>
𑂍𑂧𑂰𑂚𑂲|kamāṛī	<i>noun</i><br><ol><li>door</li></ol>
𑂍𑂨|kay	<i>det</i><br><ol><li>how many</li></ol>
𑂍𑂩|kar	<i>postp</i><br><ol><li>marker of genetive case; of</li></ol>
