koror	<i>noun</i><br><ol><li>back</li></ol>
kotem	<i>noun</i><br><ol><li>overcast sky; cloudy sky</li></ol>
koto^	<i>noun</i><br><ol><li>head louse; nit</li></ol>
kudiwis	<i>noun</i><br><ol><li>rabbit; hare</li></ol>
lahad	<i>verb</i><br><ol><li>to grow; to grow up</li></ol>
lalan	<i>noun</i><br><ol><li>way; path; road</li></ol>
lalangaw	<i>noun</i><br><ol><li>fly (insect)</li></ol>
lalisan	<i>noun</i><br><ol><li>fever</li></ol>
laliw	<i>verb</i><br><ol><li>to run away; to flee; to escape</li></ol>
laloma'an	<i>noun</i><br><ol><li>relative (family member)</li></ol>
lamal|namal	<i>noun</i><br><ol><li>fire</li></ol>
lamit	<i>noun</i><br><ol><li>root (part of a plant)</li></ol>
lamlam	<i>verb</i><br><ol><li>to mix</li></ol><br><i>adv</i><br><ol><li>together</li></ol>
laplap	<i>verb</i><br><ol><li>to drive out; to chase away; to drive</li></ol>
latek	<i>adv</i><br><ol><li>perhaps</li><li>probably</li></ol>
latlat	<i>verb</i><br><ol><li>measure</li></ol>
lawal	<i>noun</i><br><ol><li>flying squirrel</li></ol>
laway	<i>noun</i><br><ol><li>(anatomy) face</li></ol>
lawilaw	<i>noun</i><br><ol><li>night-scented lily, Asian taro (Alocasia odora)</li></ol>
lenlen	<i>noun</i><br><ol><li>typhoon</li></ol>
lepet	<i>verb</i><br><ol><li>to arrest; to apprehend</li><li>to run after; to chase</li></ol>
li'el	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
lidaw	<i>noun</i><br><ol><li>watermelon</li></ol>
lidep	<i>noun</i><br><ol><li>eagle</li></ol>
likes	<i>noun</i><br><ol><li>mosquito</li></ol>
lilis	<i>noun</i><br><ol><li>side; edge</li></ol>
lima	<i>num</i><br><ol><li>five</li></ol>
linay	<i>noun</i><br><ol><li>umbrella</li></ol>
lingko	<i>noun</i><br><ol><li>apple</li></ol>
lipahak	<i>adj</i><br><ol><li>happy; joyful</li></ol>
lisawot	<i>noun</i><br><ol><li>meeting; gathering</li></ol>
liyad	<i>adv</i><br><ol><li>(wind/wave) in gusts</li></ol><br><i>noun</i><br><ol><li>lesson</li></ol>
lodak	<i>noun</i><br><ol><li>hundred-pace snake (Deinagkistrodon acutus)</li></ol>
lofoc	<i>noun</i><br><ol><li>bag</li></ol>
lokedaw	<i>noun</i><br><ol><li>leopard</li></ol>
lokot	<i>noun</i><br><ol><li>bird's-nest fern (Aplenium nidus)</li></ol>
lonan	<i>noun</i><br><ol><li>ship, boat</li></ol>
lonen	<i>noun</i><br><ol><li>earthquake</li></ol>
lood	<i>noun</i><br><ol><li>war</li></ol><br><i>verb</i><br><ol><li>to throw; to hurl</li></ol>
lopas	<i>noun</i><br><ol><li>peach</li></ol>
losimet	<i>verb</i><br><ol><li>to arrange; to straighten out</li><li>to prepare; to get ready</li></ol>
lotok	<i>noun</i><br><ol><li>mountain</li></ol>
lotong	<i>noun</i><br><ol><li>monkey</li></ol>
ma'adopay	<i>noun</i><br><ol><li>capture; animals hunted; bag</li></ol>
